distance_numeric,is_winner,is_top3,days_since_last_race,horse_name_decay_form_90,horse_rank_rolling_mean_10,horse_rank_rolling_std_10,horse_top3_rate_rolling_mean_5,horse_top3_rate_rolling_std_5,race_class_score,track_dist_avg_pos,prev_perf_index,horse_perf_avg_rolling_mean_5,horse_perf_avg_rolling_std_5,track_Ashburton,track_Awapuni,track_Ellerslie,track_Hastings,track_Hawera,track_Matamata,track_New Plymouth,track_Otaki,track_Pukekohe,track_Riccarton,track_Riccarton Synth,track_Rotorua,track_Ruakaka,track_Tauherinikau,track_Taupo,track_Tauranga,track_Te Aroha,track_Te Rapa,track_Trentham,track_Wanganui,track_Waverley,track_Wingatui,track_Woodville,race_type_2yo,race_type_2yoM,race_type_2yof,race_type_3yo,race_type_3yoM,race_type_3yof,race_type_Hrd,race_type_JmpF,race_type_Mdn,race_type_MdnF&M,race_type_MdnSpc,race_type_Open,race_type_R 65,race_type_R 65X,race_type_R 75,race_type_R 75X,race_type_R 85,race_type_WFA,race_type_WFAf&m,horse_name,race_id,position_numeric,relevance_score,group_id
1000.0,0,1,21.0,0.6778095780054503,2.0,1.4142135623730951,1.0,0.0,2,3.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Buoyant,20221105_Riccarton_Open_1000.0,3.0,2.0,1
2500.0,1,1,14.0,1.1146585778315643,2.2,1.095445115010332,0.8,0.4472135954999579,2,1.0,0.0005,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Campionessa,20221105_Riccarton_Open_2500.0,1.0,4.0,1
1600.0,0,1,28.0,0.6248203392105469,3.5,1.7320508075688772,0.75,0.5,4,2.0,0.0004084967320261,0.0002604166666666,0.0005208333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Prise De Fer,20221112_Tauranga_WFA_1600.0,2.0,3.0,1
1600.0,0,0,23.0,1.1619835705840895,2.2,1.095445115010332,0.8,0.4472135954999579,5,1.5,0.0010714285714285,0.0001666666666666,0.0003726779962499,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Romancing The Moon,20221114_Riccarton_3yof_1600.0,4.0,1.0,1
1200.0,1,1,9.0,0.8497628009718454,2.333333333333333,1.1547005383792517,1.0,0.0,3,1.0,0.0006666666666666,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Buoyant,20221114_Riccarton_Open_1200.0,1.0,4.0,1
1400.0,1,1,365.0,0.0,2.4885496183206106,2.512395057075209,0.8129770992366412,0.3906761888457202,0,1.6,0.0,0.0008560731104752,0.0010978682557413,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Pearl Of Alsace,20221118_New Plymouth_MdnF&M_1400.0,1.0,4.0,1
2100.0,1,1,21.0,0.6110665619083203,3.75,2.0615528128088303,0.5,0.5773502691896257,3,1.0,0.0001587301587301,0.000370140612076,0.0004660089560052,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Aromatic,20221119_Pukekohe_Open_2100.0,1.0,4.0,1
2100.0,1,1,28.0,0.1771276098192654,2.5,0.7071067811865476,1.0,0.0,0,1.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Aquacade,20221119_Pukekohe_R 75X_2100.0,1.0,4.0,1
1100.0,1,1,365.0,0.0,2.4885496183206106,2.512395057075209,0.8129770992366412,0.3906761888457202,0,1.0,0.0,0.0008560731104752,0.0010978682557413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Tokyo Tycoon,20221126_Te Rapa_2yoM_1100.0,1.0,4.0,1
1600.0,1,1,14.0,0.5348084233621655,3.2,1.6431676725154984,0.8,0.4472135954999579,3,1.2222222222222223,0.00125,0.0002900326797385,0.000455890405673,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Prise De Fer,20221126_Te Rapa_Open_1600.0,1.0,4.0,1
